numberCheckin,BusinessID
10,FVpeXmiI8sa86fw63E0_0A
61,Yrjj_LCy_bPD_PINGjhdng
23,g8WX8u6cM_z7zBDT9_sFBw
30,7DDRk6CozeS__8aLCJ80-A
6,-j3BF7gOIi-1tAHoFA3WIw
10,eAuZtSnA6cgwR7Um7eA2rg
3,vf5AdVCI7rEvXF2Falgp_w
6,-TcEs-q39n1LC3kJBXZp0w
9,Bukwck4PsLHF8ZFju8X13Q
8,ZI38b-iM_kHrOyjI5Pgrzw
21,najn_Sy-_IzMvq5q4n6p8w
11,kp4h2i2wA7TWcPBqId6fkA
18,6X6jz7svmw4n_bWvuA9FRA
135,7onAEqbbZChyYdB2nJoQdg
340,jBb5KHHAj4s8hcXVS6QXDg
5,fNEwA3uXDjCWq686qQbXuQ
5,vSC7ncSsitgSpKpMYbzi0w
5,CR9XJppkJFhxCENxj-ILnA
74,eo1KkTAZecBniTAptL7xgQ
83,7CTf4W-KT4h6uA_zpGZp2Q
38,hrvj4RyT-a12llLSyCaaZw
5,JdTCJkk2iM2hI-sY0i5Jag
153,MPyxaNVuWlAQqJ0iKV5rQw
327,XOOlEuIOo0wPjYOjbXGecg
238,xvqyyJEPPV1zKhKWqJ0Kgw
137,nCPNksp20VThapB_sovNPw
431,m9haUi2_1lHR2eAKBhKwDg
210,pjtB4FadDdq_DeyedjDsOw
442,G149aO4XXAKBsUcksvuI7g
3,u9EPDmSSsunfo5ZZALW7Tg
21,SmThJ_okG7QQzOz_Wm0Ezg
6,kh3N_Kpywdh8kB4YIUA5MQ
4,uexzjtrZerK-zxuexAZMkA
5,mI83TzzmAaewYuYz7yNUYg
49,AzDfm1RUDMrKIsBeDv04nQ
84,vcfQI3Tq8c5_nBimuwdNtg
16,uudctBsXXn6GvRGRUbtrEQ
14,So-ZYKPIAmQiQoLPIX8tDw
19,QcNC8YJCKIg8vFUPWcPQog
176,1vl4-5il_LGtDRxUCy9ldw
107,N8VigpcX5SkxJJ1LFdt93w
11,GeRs--cXc_CtIZDNHYvpzg
23,CLn_HtdsNKwJ99qrXznk_A
59,2tL3VT4jy84MmwhxOA96Qw
19,RrI7eg0TZtdwCpXBWHTo3A
4,TBfOrA3_4u38rFrF7LwU0A
138,LbcDWyqGgQdlwWfGO-whMw
31,jsMv_hb1tzP9Olssu1xAcA
28,rrfmaxtcmg0h26Vyg6Eebg
46,b88bG_8zvaRyOAaKfxUCsA
56,k9Z5mscursMlg827JGwRZA
74,fhhe2udVfL0V_9_ocPHWKg
41,FG7Js2aMD6NtMMRI0C8Arw
49,7ujKe-xmdC1z74I8Y65RoQ
41,EbpER1LNaQFYxx22WBDRIg
42,UHkRFDFze9tYfYT_xjn0bQ
38,9HA1pB2y-pK4QtGdngBqhw
26,h9D494ya9sx_pD_sPUKxvA
136,GYPHQGaB4Oeq9veH-p2nKA
32,5ARBXY3O_LllnjoQthUI7A
54,AdtaLOWW3nI4Sa8OTiAAxA
26,xfZhTtsYzY95B4IG0FHXSA
42,u9YPOYxDZHiO9Z1NUuzcIA
70,IQeaBecgtJ8nuv7X0mQuzw
61,Oe0cxmz0lD9z4FXGWJ1ZZQ
162,pLCRUdm0YGfRL3lR9PSkcA
71,2lGaj8WVLetIWsK8B729mw
48,4NPD3ecBbUdfcS9FAuwJIA
30,7rZ4P3CoPiH-r5R7DuaKGw
130,tk9eG67j-pv6cwucIAYCuA
79,MiVcQsXp3TYUmeD7FSa-hA
51,8i5hB_dmf33NVbWE5SwoMQ
104,IwDI3Ls5FH2FxPNRyYaffA
51,QMN_F0PIReU6QbyEuGSYhg
66,vtGraRCZzG5q1lpipR030A
35,JDVe1R7kdC0qD2ECczFuEA
44,NkCGz1NSdEgOSpHtpiHyog
37,5NeJJp4fiuG1IyRJWDPnKQ
44,6fs8iKRPOHrJ9xeAOIgyzQ
8,_jgTXxLb-EdoDGx7NIt-LA
237,fE0zuDxZrJlQ7H91eY6UYA
98,Z_QsNnSvKLcDpa-FbD8tQA
49,CckmnbRINaLB4Aaq1dAFCQ
138,Nh9BjVPHdrZMn2naUxO6hg
47,zARGEdB0JyPCPR0f3FKGxQ
69,XlDKKtFbMGr27d89EDhTtQ
57,3m57PxtZU08ReZ3Xn_el3Q
48,GrVYU7eSBrjruL_ScqI28w
121,vFJmFFfPVhHkC3bWOeZnNA
180,5XU8ys_TsulI-FJ5nzuNvg
42,90upndp71FwHEET43vx80Q
197,aPdDcFXPsWVxBhaXuZcDpw
53,vWuvLRUj-RRVDGxQZf32kw
96,EjWi22gAE_cYpGs7lBPahQ
269,SkcccvAydbt5zlQI0EUL2g
137,6nfTUgP3UvQ_jhnT8kCpew
61,eX_f1ZzrpejCp6xJpfLmDQ
18,kkW8Vi7ht4Btj2SdVdBPkw
9,pHVCw1mHUDVYST8CkePHFA
5,LVan8aRMDNzaOwW1mFsH1g
6,9FY4DYK2RK2hyJG4_d4ZzQ
