numberCheckin,BusinessID
223,KO9CpaSPOoqm0iCWm5scmg
29,oRqBAYtcBYZHXA7G8FlPaA
45,6cy2C9aBXUwkrh4bY1DApw
21,D0IB17N66FiyYDCzTlAI4A
6,HLQGo3EaYVvAv22bONGkIw
4,J6OojF0R_1OuwNlrZI-ynQ
41,qgNlUte2tSI7OufuuvR8DA
264,RUZvUPOn90ScX60eETwcCw
25,I0UXl0AwcpSZCd4_3YCccA
17,ypDZCOYcy4hPkLwFtiNp5g
151,qNqvJIH4_KENAajUfRZKoA
10,7n3_Dg8SCgoPjKYjcp62QQ
40,aTUHVjsSH7YLV_wD3i4Lsw
87,lEGq4UveDPxikXcpwjtFow
127,IK8ID-Dq7LZsPppx4sKLhg
22,d-YNxMKL6ZhkiRhfUPxKHg
64,QVDzhx0E3d-J7Lh9FuQtTQ
11,UACSWwOwCFg58ycvb32-RQ
4,U5-VseaV5NWnuh5AW4acJg
24,9cmq0_NV08ejfNsSgr2c-Q
59,l4ymgiD1WnsSrwxWWk7a3Q
15,AYPTLvxlCw2euajnglksTA
32,YEOnspVAXguZEJp0iKLq8w
158,LDJhwZN14AZOJyHjg2lkRw
53,9uMnQTDD0hi_ivp_te6s4A
11,pskMAsS5zxuwQUF--tWIUQ
4,WTf7fOvesYyhMVGfk3C-pw
39,iqVDfE7XknJ6kDIoepT_xQ
126,nXKwzVKJCtIGd4HxXgjdnQ
6,AE7TfOrefJCI_qTvUoAezA
14,8UhKnPs2Jvz7vjzqYCTcWg
1231,gUt-pPUpOVVhaCFC8-E4yQ
8,HcQSVGAcb5c9kgBB49gvZw
46,kLAxRU19GwueWSMwXAr0vg
127,suivIX2e8mQKGvbMvbcm2Q
205,4Pf9DQBcR23A6Lg2pDsrBQ
22,zV_LBn9F_3jtx0bFgoGvOA
222,UtUXhKh7vOVvWJF48IzJvQ
12,xWcTt1L4vQC_QkPfPBVlCw
57,saON8-nDZi5W64u1xGtmPA
19,DwU7wQtSs3eftKs3Q-EEjw
49,APgL23vh7f7H_wAGTl57xQ
24,89CVGx4Y6MPVJoi59XgP_A
30,9HwUkbKAv7dO3MGlkkJJSg
14,LRLN1CIUprYLs6rWUC5bAg
89,txCJurIIrE9ZoHu3gZUvnQ
135,bZkRR9-BnwE-sb1ql7WPJg
5,BZqn7i_Z-MJ1QrxCyjFZSw
9,lUsTQ3hOOcSS1mngqeFKAA
1244,WUZxVr_CaRqEQgzvyeK5tw
6,SF43rzRcmrHxaFNN3Pacjg
11,GaNphMfP8VeEU00b2Sonng
10,cTyBfWfmgL3vgRetyfmtyA
337,RiJ8Agrw__NG6flFL7BpbA
67,kk85ivM6MQUtH8u642p1Ew
199,iuwv-s0X3h-_BCnzsX2hTA
10,6apEKjkj5j1W1sS1dSwWyA
96,ElqD819zpmOryvsLuzv-Mw
9,vuTx_fB-K_b3-WWjXiTdJg
55,Um5VnQXli9IwplV2rmgggg
41,LR9mX-3mh_PIEeG1A5zqxg
82,8SjO3b-87uN2jXVXYNn47g
8,m4JI5xpgKjZRicv05YrLrA
4,2MM8cFKHp8OaB13fp0ysGw
41,BFIrWHn47eRTykYnzJVRIw
75,FYCVF_1qYm3x5DYCbmmK1g
192,o4DsvwwD2kIbF-EM4r9G8A
14,KXfaENdNVS8fZA-UdSomxQ
91,FsRAzLD7ipg5iez7kY1b4g
50,CTSuvTp8ymqtrM2t0lwAOA
403,D1T1jtCfTfXD-cQE3QViow
93,cXykQLP4Sr3tNii8k-zckg
4,34Ro9GiCAktSZRwUQiNjfw
49,PNQ7JyMNfC0jDA0-a4ypnA
51,Kh9peg1DisyXa6XvKqGukg
25,0rbT0Nf-A56t4DnYIIvy-Q
79,yDnRf8m_YI4AXHVGH6-fuQ
171,9AbyBqGWHYZC73GlyAuTrQ
25,SzUtb20AMaMa5u_AFbzX7w
59,e_riFHMoJ1Yguvr0KtOkDQ
14,y_GScq9tMmspo0UA4RPjPA
81,KoJ4jNSmqYbmKqcoh-2dNA
12,gCnyFIE2jYeKCfQx42y4Dg
5,OmfLT4ZxFGiNygGmKcgE6g
6,kpdzK8ObQtyrpaMvp0Ztig
7,7yj_Q15ZB46lbXavBustZQ
43,ipfPzCphX5cbfVE4rOUY6Q
98,17DI33J8TkcfzyoiIYLQIw
110,2ZnCITVa0abGce4gZ6RhIw
5,MfCS8VeJzf9QbxNImekuMA
104,LmVcYycG_VI3S6RNgqiriw
109,JM6X0PJBcMkAjOuZqMaZsQ
62,_mADamYQGcQhKru2hcQUxw
18,Rvd5fGybj83Brgm-S-QT1Q
15,-dz2h55a0SdnBJEXQm9CAQ
199,N4Gw8aJNEywdDD9zcEcNiA
24,R5Lz6OiNzaKdDt41MfMOog
158,uPDTnuR-sOi47blHH943lg
3,CVBYF1AMlrZbScRXX8d6XQ
3,RcHlO31-LK8w7uFqr3vHHg
4,FYXut4Km0FzvFY3G0sYwgg
5,dvQxsFICv2HFMmQX8yI55w
73,o25PsJyVUFV83i4GqxtqfQ
65,nY2QBNMEfT3j68j-DHOGyg
59,9W5zaqA_fdjTk127fioY0A
60,N13sN1m2zZNJDgRBlP8RYA
112,amQir2cEG2MV625L0dE8aQ
24,98MPR4i4P_uU6o7-cw4qsg
71,RqhDOGx1_9tejkoYAOEHyQ
116,rVUEZpHQfWI_3kt0lBwaxQ
18,UHYxPlfmPLbEftz3Ntnfcg
46,Y9wyhP64t5IWJxoLrUV5Dg
3,8_mbjbTK_Ci3DljpzdipuA
44,RvrwLdirQ5w27dk3qkX2JA
48,bGYQiDTdpTc_ok7cYsZzoA
118,m3EKlucZuwnOazLrRfnWaQ
32,Fo5O94HccxE4PvMQf-G_vQ
27,adEJYiysRmK8eDqnHP9N6A
17,COc06ScpJTN15NXMf4gkqA
5,mr231dn6IAAkE6VYmQxBrw
4,0kcStBtW94p-ooaaA2PbIQ
30,AlspsoZqH1LGCIBgnCAEuQ
10,wAQIsvL19Zn8patYsqF4ew
8,8SBXsNM4KCyN90r_bNFw2g
128,5EyT-ZbhJR6LwtVaPyE3bg
7,oiFKrBaK5R53T8JmK1jQww
21,g21KZ4AF0WBStFNphYk8AQ
21,vaqmESluryt5i4Wbkb6KRA
10,-eim7j3MfRWxhatv-udhYw
34,Aicnm12Zped8nQFXyRRFvw
105,PXmR1MgOAWB066XH20HjxQ
45,Y5clwKIHw8qTpy3pCH1BHQ
224,dZb1V8knqTUT1o-NKZAl1Q
3,Y-wJR0jRjp4ppSkg0xg8eQ
165,9CstkLhqS4fXT0VUgu60dA
7,lc6jdu6Mvix9lVrxYsMd3A
44,sdnl07WmIzVxqNQv6DdyHw
70,r6zT-YqmOtHg8BJT3LLzfg
90,V4wiGd78Si52Gys9gmoZCg
736,GMDSE-m3yP0uCPfgkd8QSg
3,eWvfBkL6NPtIjfqhCo7EdA
148,egCtkzJEMwu7-vpFcM7VmQ
212,4iJUNAUVYNEuh16yK6Virg
19,Tr0APB-yiqu94QHO3eB66A
60,jJJc5RN6fajxWlr0IMigTQ
97,3DMvGD8ZmlMQmhwV66hdSA
6,0qiGyzxHr5wDDJLXbSRYAA
6,yQEE9ZuJe0lQNoQdG68l7A
270,PlcCjELzSI3SqX7mPF5cCw
