checkin_info,business_id,type,
{"14-4":1;"13-1":1;"13-2":6;"14-5":3;"14-3":2;"14-6":6;"14-0":2;"13-5":4;"14-1":2;"13-6":5;"13-3":1;"12-3":19;"12-2":12;"12-1":14;"11-6":6;"12-0":20;"11-5":3;"11-4":11;"11-3":17;"12-6":5;"11-2":9;"12-5":5;"11-1":18;"12-4":8;"11-0":3;"10-2":4;"9-4":1;"15-5":2;"10-3":4;"9-5":2;"10-4":1;"9-6":4;"10-5":2;"10-0":3;"15-3":2;"10-1":4;"16-1":1;"16-3":1;"15-0":2;"10-6":2;"16-5":1;"20-1":1;"1-6":1;"8-5":1;"0-5":1},KO9CpaSPOoqm0iCWm5scmg,checkin,
{"2-6":2;"2-5":3;"23-0":1;"14-6":1;"20-3":1;"3-6":1;"10-6":1;"3-5":1;"13-6":1;"1-6":2;"18-0":1;"19-2":1;"0-0":3;"19-4":1;"18-5":4;"17-4":1;"12-6":1;"11-2":1;"0-5":1;"17-1":1},oRqBAYtcBYZHXA7G8FlPaA,checkin,
{"8-2":1;"14-2":1;"14-6":1;"23-4":1;"13-4":1;"11-6":5;"12-1":1;"11-5":4;"11-3":1;"9-2":1;"10-3":1;"9-5":1;"10-4":1;"10-5":1;"10-0":1;"15-3":1;"10-1":1;"20-6":1;"16-3":1;"20-5":1;"10-6":2;"0-2":1;"19-0":1;"21-0":1;"6-2":1;"19-2":1;"6-3":1;"19-1":1;"6-4":1;"18-5":1;"19-3":1;"17-4":1;"21-6":1;"7-4":1;"7-5":2;"8-5":1},6cy2C9aBXUwkrh4bY1DApw,checkin,
{"13-2":1;"10-5":2;"15-1":1;"10-0":1;"10-1":1;"13-5":1;"20-0":1;"13-4":2;"12-3":1;"19-2":1;"11-5":2;"12-6":1;"12-5":1;"17-6":1;"11-1":2;"11-0":1;"17-1":1},D0IB17N66FiyYDCzTlAI4A,checkin,
{"14-5":1;"15-4":1;"12-5":2;"16-2":1;"13-4":1},HLQGo3EaYVvAv22bONGkIw,checkin,
{"15-5":1;"18-5":1;"19-3":1;"18-4":1},J6OojF0R_1OuwNlrZI-ynQ,checkin,
{"13-1":2;"14-4":1;"8-4":1;"5-4":1;"14-2":1;"7-6":4;"13-5":1;"13-6":2;"14-1":2;"11-5":2;"12-0":1;"11-4":1;"12-6":2;"12-5":1;"11-1":1;"9-6":1;"10-5":1;"15-1":1;"10-0":1;"16-1":1;"15-0":1;"10-6":2;"18-1":3;"6-6":1;"7-5":1;"17-5":1;"8-5":1;"8-6":2;"17-1":1},qgNlUte2tSI7OufuuvR8DA,checkin,
{"14-4":1;"13-1":5;"13-2":2;"14-5":5;"14-3":1;"8-0":1;"14-6":10;"14-0":1;"13-5":7;"13-6":8;"13-3":3;"13-4":4;"12-3":2;"12-2":1;"12-1":3;"11-6":8;"11-5":4;"12-0":2;"11-4":4;"11-3":2;"12-6":7;"11-2":1;"12-5":5;"11-1":3;"12-4":5;"11-0":1;"9-2":2;"9-1":1;"15-5":5;"15-6":4;"9-6":1;"15-2":5;"15-3":2;"15-4":3;"18-6":10;"16-0":3;"20-3":2;"16-1":1;"20-6":1;"16-3":3;"20-5":3;"15-0":1;"20-0":3;"16-5":10;"16-6":3;"20-1":2;"18-1":3;"21-1":1;"18-0":2;"18-3":4;"21-2":1;"18-2":5;"18-5":6;"18-4":3;"17-4":6;"17-3":2;"17-6":3;"17-5":5;"17-0":5;"1-1":1;"8-5":1;"17-2":2;"10-2":2;"10-3":1;"10-4":4;"10-5":2;"10-1":2;"19-5":4;"19-6":3;"10-6":5;"19-0":6;"19-2":11;"19-1":6;"19-4":3;"19-3":3;"7-2":1},RUZvUPOn90ScX60eETwcCw,checkin,
{"14-4":1;"14-5":1;"13-2":3;"14-2":2;"13-0":1;"18-6":1;"14-0":1;"10-6":1;"13-6":2;"16-5":1;"13-3":2;"19-2":1;"12-0":2;"17-3":1;"12-4":1;"17-5":1;"11-0":1;"17-1":2},I0UXl0AwcpSZCd4_3YCccA,checkin,
{"23-2":1;"9-4":1;"8-3":2;"9-5":1;"8-2":1;"22-6":1;"13-3":1;"19-2":1;"12-0":1;"6-6":1;"17-4":1;"7-4":1;"12-5":1;"12-4":1;"17-2":1;"17-1":1},ypDZCOYcy4hPkLwFtiNp5g,checkin,
{"14-4":1;"14-5":2;"13-0":1;"14-6":3;"14-0":1;"13-5":6;"14-1":1;"13-6":1;"13-3":1;"13-4":3;"12-3":2;"12-2":6;"12-1":3;"11-5":9;"12-0":2;"11-4":5;"12-6":1;"11-2":2;"12-5":2;"11-1":6;"12-4":2;"11-0":4;"15-6":2;"15-1":2;"15-3":2;"15-4":1;"16-0":1;"20-4":5;"18-6":2;"16-1":4;"20-3":3;"16-2":5;"20-6":1;"20-5":1;"16-3":2;"15-0":2;"16-4":2;"20-0":5;"16-6":1;"20-1":1;"21-1":1;"21-0":1;"18-0":3;"18-3":2;"18-2":2;"21-5":1;"18-5":3;"0-0":1;"18-4":3;"21-4":1;"17-4":1;"17-3":1;"17-6":1;"17-5":2;"17-0":2;"17-2":2;"17-1":2;"23-3":1;"3-6":1;"10-2":1;"10-3":1;"10-4":1;"10-0":2;"10-1":1;"19-5":2;"10-6":2;"19-2":1;"19-4":2;"19-3":1},qNqvJIH4_KENAajUfRZKoA,checkin,
{"10-4":2;"12-3":1;"19-1":1;"11-6":1;"18-4":1;"16-4":2;"13-5":1;"16-5":1},7n3_Dg8SCgoPjKYjcp62QQ,checkin,
{"13-2":1;"15-4":1;"20-4":1;"18-6":1;"16-1":1;"19-6":1;"20-6":1;"16-4":1;"13-3":1;"21-1":1;"12-3":8;"12-2":2;"12-1":4;"11-6":1;"12-0":4;"17-4":1;"17-3":1;"11-3":2;"12-6":1;"17-6":1;"11-2":1;"12-5":3;"12-4":1},aTUHVjsSH7YLV_wD3i4Lsw,checkin,
{"2-4":1;"2-3":1;"13-5":1;"22-4":1;"3-2":1;"12-6":1;"12-5":4;"9-2":1;"15-6":1;"9-5":1;"10-4":1;"9-6":1;"15-3":1;"20-4":4;"20-3":1;"16-3":1;"20-5":3;"16-4":1;"16-5":1;"20-2":1;"20-1":2;"18-1":4;"19-0":1;"18-0":1;"21-3":1;"18-3":9;"19-1":1;"19-4":6;"18-5":2;"21-4":3;"18-4":7;"19-3":16;"17-4":1;"17-3":2;"7-5":1;"17-1":2},lEGq4UveDPxikXcpwjtFow,checkin,
{"13-1":2;"14-4":1;"8-3":6;"13-2":2;"14-5":1;"8-2":1;"8-1":4;"14-3":1;"8-0":1;"14-6":3;"13-3":1;"12-2":1;"12-1":1;"12-0":1;"12-6":1;"11-3":4;"11-2":3;"12-4":2;"11-0":1;"9-3":2;"9-2":1;"9-1":1;"9-0":1;"9-4":1;"9-6":1;"21-0":1;"17-3":2;"17-0":2;"8-6":1;"17-2":2;"17-1":2;"5-4":3;"5-6":1;"5-1":2;"5-2":3;"5-3":1;"7-6":1;"4-2":1;"4-4":1;"3-4":1;"10-2":2;"10-3":3;"10-0":2;"10-1":1;"6-0":5;"6-1":3;"6-2":2;"6-3":2;"6-4":3;"6-5":1;"6-6":1;"7-2":5;"7-3":9;"7-4":5;"7-5":2;"7-0":6;"7-1":7},IK8ID-Dq7LZsPppx4sKLhg,checkin,
{"19-5":1;"20-3":1;"20-5":1;"20-2":1;"20-1":1;"13-4":1;"12-3":1;"19-2":1;"18-3":1;"12-2":1;"19-4":1;"12-0":2;"19-3":2;"18-4":1;"17-4":2;"11-4":1;"11-3":1;"12-4":1;"17-0":1},d-YNxMKL6ZhkiRhfUPxKHg,checkin,
{"14-4":1;"13-2":2;"14-6":1;"13-5":1;"13-3":2;"3-2":1;"12-3":1;"12-2":3;"12-1":2;"12-0":1;"11-4":4;"12-6":1;"11-3":5;"11-2":3;"12-4":1;"11-1":2;"11-0":2;"10-2":1;"15-5":1;"10-3":3;"15-6":1;"10-4":1;"15-1":1;"15-2":3;"20-4":1;"18-6":1;"19-6":1;"20-6":1;"20-0":1;"16-5":2;"20-1":1;"19-0":1;"18-0":2;"18-3":1;"19-2":1;"19-1":1;"18-5":1;"18-4":1;"19-3":1;"17-4":1;"21-6":1;"17-5":1},QVDzhx0E3d-J7Lh9FuQtTQ,checkin,
{"14-2":1;"0-3":1;"15-1":1;"14-6":1;"10-0":1;"20-4":1;"16-3":1;"13-6":1;"16-6":1;"13-3":1;"20-2":1},UACSWwOwCFg58ycvb32-RQ,checkin,
{"11-4":2;"11-2":1;"14-1":1},U5-VseaV5NWnuh5AW4acJg,checkin,
{"15-5":1;"8-4":1;"9-5":1;"10-5":1;"8-0":1;"10-0":1;"16-0":1;"16-3":1;"15-0":1;"10-6":1;"13-5":1;"14-1":1;"16-6":1;"6-2":1;"12-3":1;"11-6":1;"7-2":1;"7-4":1;"11-2":2;"12-5":1;"12-4":1;"7-0":1;"7-1":1},9cmq0_NV08ejfNsSgr2c-Q,checkin,
{"8-3":1;"8-0":1;"14-6":1;"7-6":1;"13-5":1;"14-1":1;"13-3":1;"12-3":2;"12-2":2;"11-5":2;"11-4":1;"12-5":1;"11-2":6;"12-4":1;"9-2":3;"9-1":1;"9-0":2;"10-2":8;"9-4":1;"9-5":2;"10-4":1;"10-5":1;"15-0":1;"10-6":1;"6-1":1;"6-4":4;"6-6":1;"7-2":1;"7-4":3;"7-5":2;"8-5":1;"8-6":2;"7-1":1},l4ymgiD1WnsSrwxWWk7a3Q,checkin,
{"23-3":1;"8-2":1;"10-4":1;"13-0":1;"15-3":1;"20-5":1;"16-6":1;"19-0":1;"18-3":1;"19-2":1;"21-2":1;"17-4":2;"7-1":1;"17-1":1},AYPTLvxlCw2euajnglksTA,checkin,
{"9-5":1;"14-5":1;"9-6":1;"22-5":1;"22-6":1;"13-0":1;"20-6":1;"20-5":4;"15-0":1;"14-0":1;"13-5":2;"16-5":1;"20-1":1;"18-1":1;"19-2":1;"21-5":4;"19-4":1;"21-4":3;"18-4":1;"21-6":1;"11-3":1;"12-6":1;"12-5":1},YEOnspVAXguZEJp0iKLq8w,checkin,
{"14-4":3;"8-4":1;"13-1":1;"14-5":2;"13-2":1;"14-3":1;"14-6":4;"14-0":2;"13-5":4;"13-6":1;"13-3":1;"13-4":1;"11-6":1;"11-5":6;"11-4":3;"12-6":1;"11-2":1;"12-5":5;"11-1":1;"12-4":1;"11-0":1;"15-5":4;"9-5":4;"15-6":1;"9-6":1;"15-1":3;"15-3":1;"15-4":3;"20-4":2;"18-6":2;"20-3":1;"16-1":2;"20-6":2;"16-3":3;"20-0":1;"16-4":1;"16-6":1;"20-1":1;"18-1":3;"18-3":2;"21-2":1;"18-2":1;"21-5":5;"18-5":4;"21-4":10;"18-4":3;"17-4":4;"17-3":4;"17-6":6;"17-5":1;"17-0":1;"8-5":4;"17-2":2;"17-1":3;"23-3":1;"2-4":1;"23-1":1;"22-6":1;"7-6":1;"22-0":1;"22-3":2;"22-4":3;"10-5":2;"10-0":1;"19-5":3;"19-6":2;"10-6":1;"19-2":1;"19-1":1;"19-4":4;"19-3":1;"7-4":1;"7-5":1},LDJhwZN14AZOJyHjg2lkRw,checkin,
{"14-6":1;"14-0":2;"13-5":1;"3-4":2;"14-1":1;"13-6":2;"13-3":1;"13-4":1;"11-6":1;"12-1":2;"11-5":1;"11-4":1;"12-6":1;"12-5":2;"12-4":1;"9-0":2;"9-5":1;"15-6":1;"9-6":2;"10-5":2;"10-0":1;"15-4":1;"16-0":1;"20-4":1;"15-0":1;"16-4":2;"16-5":2;"16-6":2;"18-0":1;"21-2":1;"18-2":1;"18-5":1;"19-4":2;"17-3":3;"17-6":1;"17-5":2;"8-5":1;"17-1":1},9uMnQTDD0hi_ivp_te6s4A,checkin,
{"10-2":1;"13-1":1;"10-3":1;"12-2":1;"12-0":1;"20-3":1;"11-2":1;"11-1":1;"16-3":2;"13-4":1},pskMAsS5zxuwQUF--tWIUQ,checkin,
{"18-0":1;"18-4":1;"18-6":1;"17-3":1},WTf7fOvesYyhMVGfk3C-pw,checkin,
{"8-3":1;"13-2":1;"8-1":1;"13-5":1;"11-4":1;"12-6":1;"11-2":1;"9-2":1;"9-4":1;"10-2":1;"9-5":3;"10-3":2;"9-6":2;"10-4":2;"10-5":3;"10-0":1;"19-6":2;"20-6":1;"16-3":1;"20-0":1;"10-6":5;"20-2":1;"19-2":2;"18-3":1;"21-5":1;"17-3":1},iqVDfE7XknJ6kDIoepT_xQ,checkin,
{"13-2":1;"11-3":1;"15-5":1;"15-6":2;"15-2":1;"15-4":3;"20-4":5;"20-3":3;"20-6":5;"16-2":1;"20-5":4;"16-4":1;"20-0":3;"16-5":1;"16-6":1;"20-2":4;"0-2":1;"0-1":1;"21-1":4;"18-1":3;"21-0":2;"18-0":2;"21-3":1;"18-3":1;"21-2":2;"21-5":1;"18-5":3;"18-4":6;"21-4":6;"17-4":2;"21-6":3;"17-3":3;"17-6":1;"17-0":2;"0-5":1;"17-2":3;"17-1":2;"23-2":2;"2-5":1;"23-3":1;"22-5":6;"23-1":4;"22-6":1;"22-0":2;"23-6":1;"22-3":1;"22-4":6;"23-4":1;"22-2":2;"19-5":1;"19-0":3;"19-2":2;"19-1":1;"19-4":3;"19-3":1},nXKwzVKJCtIGd4HxXgjdnQ,checkin,
{"14-4":1;"17-4":1;"11-4":1;"12-4":1;"8-6":1;"13-4":1},AE7TfOrefJCI_qTvUoAezA,checkin,
{"10-2":1;"14-3":1;"15-3":1;"10-0":1;"15-4":1;"13-5":1;"14-0":1;"16-5":1;"18-2":1;"11-3":1;"21-6":1;"17-5":1;"7-5":1;"9-1":1},8UhKnPs2Jvz7vjzqYCTcWg,checkin,
{"14-5":6;"14-2":1;"8-0":1;"14-6":3;"13-5":1;"14-1":1;"12-2":1;"12-0":1;"12-6":1;"15-5":6;"15-6":12;"9-6":1;"15-1":1;"15-2":7;"15-3":3;"15-4":23;"16-0":7;"20-4":35;"18-6":27;"20-3":6;"16-1":17;"16-2":61;"20-6":21;"16-3":24;"20-5":27;"16-4":56;"20-0":5;"16-5":22;"16-6":37;"20-2":6;"20-1":6;"0-1":3;"21-1":3;"18-1":29;"21-0":4;"18-0":15;"1-6":3;"21-3":6;"18-3":35;"21-2":7;"18-2":38;"21-5":20;"18-5":22;"0-0":1;"21-4":27;"18-4":29;"17-4":78;"21-6":28;"17-3":50;"17-6":34;"17-5":22;"17-0":17;"0-6":4;"1-0":1;"17-2":72;"17-1":40;"23-3":2;"23-0":1;"22-5":12;"22-6":15;"23-1":1;"22-3":12;"23-6":3;"22-4":15;"23-4":12;"22-1":1;"23-5":21;"19-5":25;"19-6":23;"10-6":1;"19-0":4;"19-2":10;"19-1":11;"19-4":29;"19-3":19},gUt-pPUpOVVhaCFC8-E4yQ,checkin,
{"14-3":1;"1-6":1;"21-5":1;"16-2":1;"11-1":1;"17-5":1;"17-0":1;"0-6":1},HcQSVGAcb5c9kgBB49gvZw,checkin,
{"2-6":1;"2-5":1;"8-2":1;"22-6":1;"3-6":1;"12-3":1;"11-5":3;"12-6":3;"9-2":1;"15-5":1;"10-3":3;"9-5":1;"10-4":1;"10-5":1;"10-1":1;"19-6":1;"20-3":1;"10-6":2;"20-0":1;"20-2":1;"21-1":2;"18-1":2;"21-0":1;"1-6":2;"21-3":2;"19-1":1;"18-5":1;"21-5":2;"21-4":1;"7-4":1;"17-6":2;"8-5":1;"0-5":1},kLAxRU19GwueWSMwXAr0vg,checkin,
